Time,Open,High,Low,Close,Volume
2022-06-22 16:45:00,20184.65000000,20345.76000000,20136.91000000,20322.73000000,1141.99945000
2022-06-22 17:00:00,20322.72000000,20325.04000000,20200.00000000,20268.22000000,949.17906000
2022-06-22 17:15:00,20268.21000000,20380.00000000,20244.69000000,20320.57000000,850.46661000
2022-06-22 17:30:00,20320.56000000,20325.20000000,20150.00000000,20214.28000000,752.78187000
2022-06-22 17:45:00,20214.28000000,20366.63000000,20197.45000000,20267.42000000,842.91090000
2022-06-22 18:00:00,20267.43000000,20350.00000000,20224.26000000,20344.90000000,585.50262000
2022-06-22 18:15:00,20344.91000000,20378.47000000,20239.07000000,20245.16000000,601.18357000
2022-06-22 18:30:00,20245.15000000,20323.21000000,20226.32000000,20297.82000000,526.37905000
2022-06-22 18:45:00,20297.81000000,20316.40000000,20200.00000000,20218.15000000,571.74175000
2022-06-22 19:00:00,20218.15000000,20266.32000000,20122.70000000,20187.76000000,746.33438000
2022-06-22 19:15:00,20188.07000000,20196.55000000,20089.00000000,20112.67000000,573.65860000
2022-06-22 19:30:00,20112.68000000,20140.01000000,19948.00000000,20026.47000000,1091.58874000
2022-06-22 19:45:00,20026.47000000,20153.39000000,19913.00000000,20117.34000000,857.79683000
2022-06-22 20:00:00,20117.34000000,20239.87000000,19986.31000000,20203.59000000,1152.44135000
2022-06-22 20:15:00,20203.59000000,20239.57000000,20133.20000000,20133.21000000,430.25544000
2022-06-22 20:30:00,20133.20000000,20133.21000000,19770.51000000,19851.90000000,2031.10889000
2022-06-22 20:45:00,19851.90000000,20049.99000000,19781.68000000,19879.97000000,1151.74484000
2022-06-22 21:00:00,19879.98000000,19991.50000000,19868.92000000,19941.13000000,801.61588000
2022-06-22 21:15:00,19941.14000000,20019.74000000,19868.59000000,19938.99000000,569.89951000
2022-06-22 21:30:00,19939.01000000,19966.04000000,19831.19000000,19896.37000000,311.85632000
2022-06-22 21:45:00,19896.38000000,20064.67000000,19896.37000000,20005.30000000,515.09037000
2022-06-22 22:00:00,20005.30000000,20058.57000000,19949.22000000,19977.12000000,688.84842000
2022-06-22 22:15:00,19977.12000000,19979.42000000,19918.31000000,19958.76000000,472.76955000
2022-06-22 22:30:00,19958.77000000,20067.02000000,19953.33000000,20052.48000000,509.07798000
2022-06-22 22:45:00,20052.49000000,20169.09000000,20016.55000000,20103.32000000,866.68167000
2022-06-22 23:00:00,20103.32000000,20139.53000000,20094.09000000,20111.12000000,510.42990000
2022-06-22 23:15:00,20111.13000000,20134.92000000,20075.00000000,20080.09000000,437.08373000
2022-06-22 23:30:00,20080.08000000,20120.46000000,19980.80000000,20009.17000000,675.65265000
2022-06-22 23:45:00,20009.16000000,20024.47000000,19960.51000000,19987.99000000,557.38068000
2022-06-23 00:00:00,19988.00000000,20134.50000000,19890.07000000,20112.55000000,1539.67323000
2022-06-23 00:15:00,20112.56000000,20470.22000000,20090.72000000,20341.64000000,2014.99001000
2022-06-23 00:30:00,20341.65000000,20411.89000000,20234.10000000,20332.56000000,1427.13006000
2022-06-23 00:45:00,20332.56000000,20510.00000000,20295.71000000,20419.14000000,1439.88295000
2022-06-23 01:00:00,20419.15000000,20454.85000000,20358.15000000,20364.32000000,834.79533000
2022-06-23 01:15:00,20364.32000000,20566.00000000,20339.13000000,20520.18000000,1323.12747000
2022-06-23 01:30:00,20520.18000000,20612.22000000,20444.21000000,20449.81000000,944.89514000
2022-06-23 01:45:00,20449.81000000,20466.00000000,20340.87000000,20375.49000000,699.33671000
2022-06-23 02:00:00,20375.48000000,20463.00000000,20358.47000000,20373.39000000,590.13901000
2022-06-23 02:15:00,20373.39000000,20423.92000000,20347.63000000,20368.75000000,363.57937000
2022-06-23 02:30:00,20368.75000000,20492.01000000,20365.00000000,20424.55000000,597.66908000
2022-06-23 02:45:00,20424.55000000,20468.86000000,20352.64000000,20363.00000000,469.23914000
2022-06-23 03:00:00,20363.01000000,20376.72000000,20265.74000000,20300.00000000,776.43086000
2022-06-23 03:15:00,20300.00000000,20332.21000000,20286.41000000,20318.61000000,516.01437000
2022-06-23 03:30:00,20318.62000000,20318.62000000,20224.26000000,20246.72000000,437.09516000
2022-06-23 03:45:00,20246.73000000,20272.00000000,20211.43000000,20213.79000000,389.66178000
2022-06-23 04:00:00,20213.78000000,20236.26000000,20168.26000000,20200.58000000,515.19700000
2022-06-23 04:15:00,20200.57000000,20288.68000000,20174.81000000,20251.47000000,607.27549000
2022-06-23 04:30:00,20251.48000000,20382.42000000,20240.00000000,20363.82000000,757.35381000
2022-06-23 04:45:00,20363.82000000,20394.99000000,20316.44000000,20357.17000000,472.62817000
2022-06-23 05:00:00,20357.17000000,20390.46000000,20273.90000000,20320.43000000,549.77282000
2022-06-23 05:15:00,20320.44000000,20389.40000000,20298.66000000,20385.97000000,481.05427000
2022-06-23 05:30:00,20385.97000000,20474.36000000,20381.16000000,20394.12000000,614.75780000
2022-06-23 05:45:00,20394.11000000,20428.57000000,20331.10000000,20349.16000000,466.83736000
2022-06-23 06:00:00,20349.16000000,20358.75000000,20303.76000000,20322.73000000,516.55603000
2022-06-23 06:15:00,20322.72000000,20454.22000000,20310.50000000,20423.09000000,594.01415000
2022-06-23 06:30:00,20423.09000000,20657.14000000,20398.05000000,20594.03000000,2102.91086000
2022-06-23 06:45:00,20594.03000000,20619.12000000,20547.25000000,20548.51000000,591.45256000
2022-06-23 07:00:00,20548.52000000,20623.87000000,20531.93000000,20593.39000000,755.34254000
2022-06-23 07:15:00,20593.39000000,20593.39000000,20483.38000000,20489.22000000,823.37759000
2022-06-23 07:30:00,20489.21000000,20501.13000000,20441.69000000,20475.50000000,401.41595000
2022-06-23 07:45:00,20475.49000000,20505.58000000,20424.98000000,20461.83000000,776.74848000
2022-06-23 08:00:00,20461.83000000,20643.16000000,20454.32000000,20604.43000000,788.75179000
